CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct
719219883,Existing Customer,47,M,2,Uneducated,Married,$60K - $80K,Blue,36,4,2,9300,769,3651,67
828288333,Existing Customer,50,M,0,Uneducated,Married,$60K - $80K,Blue,46,4,3,3640,659,3756,70
713333433,Attrited Customer,49,M,3,Uneducated,Unknown,$60K - $80K,Blue,41,3,4,18075,0,1477,30
711655683,Existing Customer,55,M,1,Uneducated,Single,$60K - $80K,Silver,46,4,4,25991,0,2996,62
715776033,Existing Customer,46,M,5,Uneducated,Single,$60K - $80K,Blue,33,4,3,3135,0,4116,68
710674533,Attrited Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,34,3,4,15060,0,1611,42
717450633,Attrited Customer,47,M,3,Uneducated,Single,$60K - $80K,Blue,36,3,4,1659,1544,1920,39
719756133,Attrited Customer,34,M,4,Uneducated,Single,$60K - $80K,Blue,20,3,6,3940,1384,3257,53
771928608,Existing Customer,34,M,1,Uneducated,Single,$60K - $80K,Blue,23,6,1,2033,1832,4110,74
712829808,Attrited Customer,39,M,3,Uneducated,Married,$60K - $80K,Blue,29,4,4,2187,0,2031,40
718320933,Existing Customer,47,M,3,Uneducated,Married,$60K - $80K,Blue,36,2,1,11919,2347,8257,96
772725408,Existing Customer,40,M,3,Uneducated,Divorced,$60K - $80K,Blue,30,2,2,24499,2517,7667,84
718728108,Existing Customer,43,M,4,Uneducated,Married,$60K - $80K,Silver,30,1,1,29856,1576,14887,119
720512433,Attrited Customer,56,M,1,Uneducated,Single,$60K - $80K,Blue,36,6,3,15219,2281,7625,78
779082633,Existing Customer,30,M,2,Uneducated,Single,$60K - $80K,Blue,13,3,3,4107,979,14596,104
779692608,Existing Customer,36,M,1,Uneducated,Married,$60K - $80K,Blue,19,6,5,9764,0,15097,115
709382958,Existing Customer,55,F,2,Graduate,Married,$40K - $60K,Blue,46,6,4,2894,2077,1017,25
718011783,Existing Customer,55,M,3,Graduate,Married,$40K - $60K,Blue,36,3,3,2205,1337,1591,38
712826208,Existing Customer,39,F,2,Graduate,Married,$40K - $60K,Blue,26,5,2,2575,1424,1487,33
713237958,Existing Customer,34,M,0,Graduate,Married,$40K - $60K,Blue,17,4,4,2638,2092,1868,43
708151008,Existing Customer,49,F,4,Graduate,Married,$40K - $60K,Blue,41,5,2,6250,644,2433,41
717983058,Existing Customer,41,F,3,Graduate,Married,$40K - $60K,Blue,29,5,3,1982,1068,3058,58
756989583,Existing Customer,41,M,4,Graduate,Unknown,$40K - $60K,Blue,24,4,2,1605,0,4418,68
769053033,Attrited Customer,44,F,1,Graduate,Single,$40K - $60K,Blue,38,3,5,4142,2517,2104,44
714673833,Existing Customer,59,F,1,Graduate,Single,$40K - $60K,Blue,36,3,1,1528,0,4411,77
710758683,Existing Customer,61,F,1,Graduate,Unknown,$40K - $60K,Silver,48,2,3,15698,2000,12980,82
792139308,Existing Customer,48,F,3,Graduate,Single,$40K - $60K,Blue,42,1,3,9215,639,13345,114
710799783,Existing Customer,35,M,2,Unknown,Married,$120K +,Blue,36,4,4,15202,1779,3143,60
718665933,Existing Customer,43,M,3,Unknown,Divorced,$120K +,Blue,30,3,2,34516,2517,7437,86
711436983,Existing Customer,57,M,3,Unknown,Single,$120K +,Silver,49,1,1,34516,2517,8596,102
714199008,Attrited Customer,50,M,2,Unknown,Married,$120K +,Blue,36,6,2,16081,492,6100,61
719336583,Existing Customer,55,M,2,Uneducated,Married,$120K +,Blue,44,3,3,27745,1300,1525,21
811035483,Attrited Customer,47,M,3,Uneducated,Divorced,$120K +,Silver,42,2,5,34516,0,1641,35
827695683,Existing Customer,40,M,3,Uneducated,Single,$120K +,Blue,36,4,5,34516,1329,3906,77
789339633,Existing Customer,51,M,2,Uneducated,Divorced,$120K +,Blue,41,4,3,30560,0,3736,55
768661758,Existing Customer,53,M,0,Uneducated,Divorced,$120K +,Blue,47,5,1,26129,1752,4919,75
716922633,Attrited Customer,38,M,2,Uneducated,Single,$120K +,Blue,30,6,4,4043,2517,2600,47
717684858,Existing Customer,50,M,3,Uneducated,Single,$120K +,Blue,38,6,3,22304,1333,5002,60
811705233,Existing Customer,45,M,2,Unknown,Single,$40K - $60K,Blue,40,6,3,7037,0,4099,71
714253983,Existing Customer,44,M,3,Unknown,Married,$40K - $60K,Blue,36,4,3,9465,0,3675,59
719504433,Existing Customer,63,M,0,Unknown,Single,$40K - $60K,Silver,54,4,3,18064,1695,3434,71
708703308,Attrited Customer,35,F,1,Unknown,Married,$40K - $60K,Blue,26,6,4,2045,1707,2183,39
796196733,Existing Customer,52,F,2,Unknown,Single,$40K - $60K,Blue,46,4,3,4259,0,4389,80
798783858,Existing Customer,48,F,3,Unknown,Unknown,$40K - $60K,Blue,42,2,1,9742,2517,13082,92
815353083,Attrited Customer,44,M,1,College,Divorced,$80K - $120K,Silver,39,2,2,34516,2361,1853,36
770667408,Existing Customer,47,M,4,College,Married,$80K - $120K,Blue,33,3,3,8854,2382,4768,81
815308683,Existing Customer,46,M,3,College,Married,$80K - $120K,Blue,41,4,1,18927,887,3101,54
718396533,Existing Customer,47,M,3,College,Single,$80K - $120K,Blue,38,5,3,8185,1556,4527,83
779655183,Existing Customer,48,M,4,College,Single,$80K - $120K,Blue,31,6,3,5033,0,4054,82
710822808,Existing Customer,51,M,0,College,Single,$80K - $120K,Blue,33,1,1,34516,1228,7854,89
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2926,0,1304,24
710027508,Existing Customer,61,M,0,Graduate,Married,$60K - $80K,Blue,54,3,0,1616,1047,1389,33
715022133,Existing Customer,53,M,2,Graduate,Married,$60K - $80K,Blue,47,6,2,6363,1162,1256,26
792402483,Existing Customer,46,M,4,Graduate,Single,$60K - $80K,Blue,40,5,1,12280,985,4263,70
720568083,Existing Customer,40,M,2,Graduate,Divorced,$60K - $80K,Blue,36,5,4,8624,0,2428,53
719530158,Existing Customer,57,M,1,Graduate,Single,$60K - $80K,Blue,44,3,2,9843,1273,3677,66
711654558,Existing Customer,46,M,3,Graduate,Unknown,$60K - $80K,Blue,36,6,4,2179,1632,4025,69
779327733,Existing Customer,43,M,1,Graduate,Divorced,$60K - $80K,Blue,25,4,3,1783,1014,3861,81
709275558,Existing Customer,54,M,2,Graduate,Single,$60K - $80K,Blue,44,6,2,7866,0,4238,55
818729208,Existing Customer,52,M,3,Graduate,Married,$60K - $80K,Blue,47,3,3,8185,941,4525,77
708671733,Existing Customer,48,M,4,Graduate,Married,$60K - $80K,Blue,36,2,3,2072,1499,4091,71
715908558,Existing Customer,44,M,0,Graduate,Unknown,$60K - $80K,Silver,36,1,1,29572,1584,7566,88
819109308,Existing Customer,62,M,0,Graduate,Divorced,$60K - $80K,Blue,56,1,3,6103,2517,8080,92
779293308,Existing Customer,51,M,4,Graduate,Married,$60K - $80K,Silver,33,1,3,25653,2059,8305,103
710873583,Existing Customer,58,M,1,Graduate,Married,$60K - $80K,Blue,48,2,2,20724,2221,14215,109
715474083,Existing Customer,51,M,3,Graduate,Single,$60K - $80K,Silver,36,3,2,29663,1743,14638,93
816533733,Existing Customer,50,M,1,Unknown,Married,$80K - $120K,Blue,45,5,2,33951,0,1567,44
788789658,Existing Customer,40,M,5,Unknown,Unknown,$80K - $120K,Blue,22,6,4,4042,1744,1471,37
717261708,Existing Customer,53,M,1,Unknown,Married,$80K - $120K,Blue,36,4,3,13457,1248,1548,41
716938383,Existing Customer,41,M,4,Unknown,Married,$80K - $120K,Blue,28,3,3,34516,0,3811,61
711184983,Existing Customer,41,M,5,Unknown,Unknown,$80K - $120K,Blue,29,6,1,11191,0,3839,73
714125883,Existing Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,36,6,1,2514,1845,3696,71
712602708,Attrited Customer,36,M,3,Unknown,Unknown,$80K - $120K,Blue,36,4,2,1815,0,2039,34
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,6,2,17965,1644,1767,50
708820308,Existing Customer,47,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,36,6,2,13399,2505,1326,31
710677608,Existing Customer,53,M,2,Post-Graduate,Unknown,$80K - $120K,Blue,36,4,0,29205,1208,1556,43
720267033,Existing Customer,34,M,4,Post-Graduate,Single,$80K - $120K,Blue,26,3,2,5100,1786,2375,63
772782708,Existing Customer,50,M,3,Post-Graduate,Single,$80K - $120K,Blue,40,5,2,31383,1688,1721,56
709224858,Existing Customer,53,M,2,Post-Graduate,Married,$80K - $120K,Blue,36,5,2,3610,1629,1652,40
796990908,Existing Customer,35,M,3,Post-Graduate,Single,$80K - $120K,Silver,29,5,2,34516,1872,2227,61
712491108,Existing Customer,35,M,1,Post-Graduate,Married,$80K - $120K,Blue,20,6,4,13046,1177,2601,52
772468983,Existing Customer,36,M,1,Post-Graduate,Married,$80K - $120K,Blue,26,3,2,21927,1291,1946,37
711405333,Existing Customer,52,M,3,Post-Graduate,Married,$80K - $120K,Blue,43,5,2,6849,2126,1651,43
787231233,Existing Customer,34,M,5,Post-Graduate,Single,$80K - $120K,Silver,28,3,2,34516,1731,2421,63
794967408,Existing Customer,53,M,3,Post-Graduate,Married,$80K - $120K,Blue,47,5,1,9106,975,3863,74
718611333,Existing Customer,55,M,3,Post-Graduate,Married,$80K - $120K,Blue,36,6,0,6400,1979,4475,91
790108908,Existing Customer,44,M,2,Post-Graduate,Married,$80K - $120K,Blue,37,5,1,34058,0,4043,57
779667408,Existing Customer,58,M,1,Post-Graduate,Single,$80K - $120K,Blue,41,4,1,2915,1494,4235,73
708976908,Attrited Customer,40,M,3,Post-Graduate,Single,$80K - $120K,Blue,36,4,3,8958,0,2131,43
719475633,Existing Customer,42,M,3,Post-Graduate,Married,$80K - $120K,Blue,30,6,3,13908,0,4319,81
713894358,Existing Customer,51,M,2,Post-Graduate,Unknown,$80K - $120K,Gold,46,2,2,34516,814,7889,98
771411408,Attrited Customer,50,M,1,Post-Graduate,Unknown,$80K - $120K,Blue,38,2,4,2673,0,4929,54
788766933,Existing Customer,46,M,2,Post-Graduate,Married,$80K - $120K,Blue,26,1,1,34516,714,14279,97
788779983,Existing Customer,58,M,2,Post-Graduate,Married,$80K - $120K,Blue,39,4,3,3742,2517,16401,121
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,1,4470,680,931,18
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3788,1540,1594,47
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,6,3,8135,0,1716,29
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48,2,3,3616,1054,687,17
773466258,Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue,42,3,3,4206,1100,1144,22
772047183,Existing Customer,45,M,4,High School,Married,$40K - $60K,Blue,34,6,3,3104,1766,1353,24
721059033,Existing Customer,48,F,3,High School,Divorced,$40K - $60K,Blue,40,4,2,1919,774,1505,33
712710708,Existing Customer,55,M,2,High School,Single,$40K - $60K,Blue,36,5,0,6244,2517,1445,40
710429358,Existing Customer,57,M,1,High School,Married,$40K - $60K,Blue,48,5,3,2544,1927,1346,30
708938508,Existing Customer,63,M,1,High School,Married,$40K - $60K,Blue,36,5,2,4559,1571,1870,35
719068683,Existing Customer,52,F,1,High School,Married,$40K - $60K,Blue,36,5,2,3136,1864,1036,25
712636308,Existing Customer,65,F,2,High School,Married,$40K - $60K,Blue,45,6,2,2658,1514,1627,26
717412608,Attrited Customer,38,F,2,High School,Married,$40K - $60K,Blue,28,3,2,7225,0,738,16
717141858,Existing Customer,56,F,2,High School,Single,$40K - $60K,Blue,36,4,2,13904,625,3151,67
715760733,Existing Customer,58,M,4,High School,Married,$40K - $60K,Blue,47,6,4,7803,1885,1199,25
713767383,Existing Customer,32,F,0,High School,Married,$40K - $60K,Blue,22,4,2,2062,1665,2397,41
824789283,Existing Customer,36,M,2,High School,Single,$40K - $60K,Blue,32,3,2,2683,1533,2373,73
711041508,Existing Customer,37,F,1,High School,Married,$40K - $60K,Blue,25,4,4,5865,2517,2623,47
714093108,Existing Customer,58,F,2,High School,Single,$40K - $60K,Blue,36,3,3,7372,1210,1707,56
820020258,Existing Customer,55,F,1,High School,Single,$40K - $60K,Blue,46,5,4,5379,962,1778,40
780251658,Existing Customer,32,M,1,High School,Married,$40K - $60K,Blue,18,4,4,4583,1586,2395,57
717085983,Existing Customer,44,F,2,High School,Single,$40K - $60K,Blue,25,6,3,3299,2517,4312,84
710218233,Existing Customer,43,F,3,High School,Single,$40K - $60K,Blue,35,4,3,2297,1044,3161,65
720964683,Existing Customer,60,M,0,High School,Single,$40K - $60K,Blue,36,5,2,5420,0,3477,60
721028283,Existing Customer,40,F,4,High School,Married,$40K - $60K,Blue,28,4,3,11494,1160,3353,86
712949733,Existing Customer,46,M,5,High School,Single,$40K - $60K,Blue,37,3,3,6340,1985,3536,61
789109983,Existing Customer,40,F,3,High School,Divorced,$40K - $60K,Blue,28,4,4,4464,1418,3870,73
766111383,Existing Customer,38,F,2,High School,Married,$40K - $60K,Blue,31,4,4,1593,1091,4136,67
778372158,Existing Customer,49,F,5,High School,Married,$40K - $60K,Blue,33,6,2,2506,1549,4747,91
714818058,Existing Customer,36,F,4,High School,Married,$40K - $60K,Blue,30,3,1,1438.3,0,4591,74
819969933,Existing Customer,43,F,2,High School,Single,$40K - $60K,Blue,38,4,2,5070,0,4193,67
719659758,Existing Customer,45,F,4,High School,Married,$40K - $60K,Blue,35,6,0,2919,1670,4194,72
771058908,Existing Customer,55,F,3,High School,Single,$40K - $60K,Blue,42,3,2,2873,2455,4563,72
720885558,Existing Customer,51,F,2,High School,Single,$40K - $60K,Blue,37,5,1,2621,2426,4885,74
710086308,Existing Customer,46,F,4,High School,Unknown,$40K - $60K,Blue,38,6,0,3645,1179,4680,87
710719683,Existing Customer,49,F,1,High School,Divorced,$40K - $60K,Blue,43,3,2,3054,845,4460,88
718212633,Existing Customer,45,F,4,High School,Married,$40K - $60K,Blue,36,5,1,2948,2232,3635,79
802867683,Existing Customer,53,F,2,High School,Single,$40K - $60K,Blue,47,5,3,1536,728,4133,78
711893358,Existing Customer,46,M,5,High School,Married,$40K - $60K,Blue,37,6,1,2375,1196,4087,66
711801933,Attrited Customer,54,F,4,High School,Single,$40K - $60K,Blue,36,3,4,1438.3,0,2092,42
771518658,Existing Customer,58,F,1,High School,Married,$40K - $60K,Blue,46,5,1,1871,1339,4553,90
789454683,Existing Customer,45,F,3,High School,Single,$40K - $60K,Blue,36,4,2,1912,1281,5046,79
710436108,Existing Customer,41,M,4,High School,Unknown,$40K - $60K,Blue,29,5,2,3600,746,4184,61
721093608,Existing Customer,44,M,2,High School,Single,$40K - $60K,Blue,31,5,1,2197,0,4548,64
715516458,Attrited Customer,42,F,1,High School,Married,$40K - $60K,Blue,36,5,2,2705,2430,2602,43
710487033,Existing Customer,44,F,2,High School,Married,$40K - $60K,Blue,28,2,3,1438.3,0,4445,78
771067308,Existing Customer,38,F,3,High School,Single,$40K - $60K,Blue,25,1,2,3040,1908,5616,73
718742808,Attrited Customer,55,F,1,High School,Married,$40K - $60K,Blue,46,2,3,4629,710,2877,49
758168133,Existing Customer,50,F,0,High School,Married,$40K - $60K,Blue,43,2,1,4154,1060,4325,86
712453308,Existing Customer,46,M,4,High School,Divorced,$40K - $60K,Silver,36,2,3,15034,1356,7737,84
718292283,Existing Customer,52,F,1,High School,Single,$40K - $60K,Blue,42,1,1,3416,1970,8254,75
789582483,Existing Customer,60,M,1,High School,Divorced,$40K - $60K,Blue,53,2,3,9369,1813,7699,101
779037408,Existing Customer,38,M,1,High School,Single,$40K - $60K,Blue,19,2,3,3581,694,14637,109
789890958,Existing Customer,53,F,4,High School,Divorced,$40K - $60K,Blue,43,3,2,10948,482,16230,111
797228883,Existing Customer,46,M,2,High School,Married,$40K - $60K,Blue,40,3,0,3981,0,14340,114
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,2,6273,978,1359,25
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,10133,1417,1068,20
714311583,Existing Customer,46,F,4,Graduate,Single,Unknown,Blue,36,4,2,17023,1084,1610,43
710793783,Existing Customer,53,F,3,Graduate,Married,Unknown,Blue,40,6,1,12059,1978,1836,36
710653158,Existing Customer,39,F,4,Graduate,Married,Unknown,Blue,21,6,4,5024,1613,1925,40
715745508,Existing Customer,51,F,4,Graduate,Single,Unknown,Blue,34,3,2,11221,1279,1564,45
715078383,Existing Customer,64,F,0,Graduate,Married,Unknown,Blue,36,3,3,7646,1010,1667,47
714997683,Existing Customer,56,F,4,Graduate,Married,Unknown,Blue,49,5,3,14915,1111,1388,35
789282333,Existing Customer,62,F,0,Graduate,Married,Unknown,Blue,51,3,3,10826,1274,1355,34
816319008,Existing Customer,52,F,2,Graduate,Single,Unknown,Blue,47,6,3,13276,1917,1901,33
708355683,Existing Customer,46,F,4,Graduate,Married,Unknown,Blue,38,3,3,16815,0,2976,65
719184783,Existing Customer,51,F,1,Graduate,Single,Unknown,Blue,41,3,2,9352,1429,3536,71
717461283,Attrited Customer,38,F,2,Graduate,Single,Unknown,Blue,24,3,3,2214,570,2066,45
772095858,Existing Customer,38,F,2,Graduate,Single,Unknown,Blue,27,4,3,13429,1246,3929,66
709131033,Existing Customer,65,F,0,Graduate,Unknown,Unknown,Blue,36,3,4,2025,1701,4056,71
821339433,Existing Customer,45,F,3,Graduate,Married,Unknown,Blue,41,5,2,2777,2118,4442,64
711245433,Attrited Customer,50,F,4,Graduate,Single,Unknown,Blue,41,5,3,2509,0,2281,41
720784833,Attrited Customer,48,F,3,Graduate,Single,Unknown,Blue,36,3,1,1630,1243,1884,43
709666908,Existing Customer,42,F,4,Graduate,Divorced,Unknown,Blue,36,3,1,2782,1782,4669,93
709837308,Existing Customer,34,F,3,Graduate,Single,Unknown,Blue,19,6,2,7531,0,3833,71
806428908,Existing Customer,60,F,1,Graduate,Single,Unknown,Blue,55,3,3,13397,0,5049,75
768632958,Attrited Customer,59,F,1,Graduate,Single,Unknown,Blue,49,3,6,8708,1091,2508,49
715040208,Existing Customer,49,F,2,Graduate,Single,Unknown,Blue,38,6,3,5076,871,4115,72
717074283,Attrited Customer,45,F,3,Graduate,Divorced,Unknown,Blue,37,5,6,17678,0,2566,49
709098108,Existing Customer,45,F,4,Graduate,Married,Unknown,Blue,35,4,2,2705,0,4749,80
710476908,Existing Customer,39,F,3,Graduate,Married,Unknown,Blue,28,3,3,9371,1066,4754,78
716513358,Existing Customer,51,F,2,Graduate,Divorced,Unknown,Blue,36,5,3,2069,1802,4402,91
710637183,Existing Customer,48,F,4,Graduate,Single,Unknown,Blue,40,3,3,2300,1906,4538,71
745853283,Existing Customer,38,F,1,Graduate,Married,Unknown,Blue,31,3,3,7234,0,5198,75
779916408,Existing Customer,39,F,4,Graduate,Single,Unknown,Blue,23,1,2,1811,0,4934,70
765755283,Existing Customer,48,F,2,Graduate,Married,Unknown,Blue,41,1,3,7884,745,4588,74
773177358,Existing Customer,48,F,3,Graduate,Married,Unknown,Blue,41,1,2,8074,2426,5372,93
